name,type,parent_directory,size
directory_data.csv,file,C:\Users\a.goncharova\PycharmProjects\pythonProject1\homework\homework_8,127
directory_data.json,file,C:\Users\a.goncharova\PycharmProjects\pythonProject1\homework\homework_8,186
directory_data.pickle,file,C:\Users\a.goncharova\PycharmProjects\pythonProject1\homework\homework_8,156
task_1.py,file,C:\Users\a.goncharova\PycharmProjects\pythonProject1\homework\homework_8,2370
